Technology,Power Plant Name,Fuel Category,Primary Fuel,Region,Country,Total Capacity (MW),Active Capacity (MW),Pipeline Capacity (MW),Discontinued Capacity (MW),Status,Owner Name,Owner Stake (%)
Wind,abd82b0fde,Onshore,,Asia-Pacific,India,0.825,0.825,,,Active,Stark Energy Corporation,
Wind,06a551cd46,Onshore,,Asia-Pacific,India,3.5,,3.5,,Dormant,Stark Energy Corporation,
Wind,2c38dbb655,Onshore,,Europe,Czech Republic,6.6,,6.6,,Dormant,Stark Energy Corporation,
Wind,3756319265,Onshore,,Middle East and Africa,South Africa,439.56,,439.56,,Permitting,Stark Energy Corporation,
Wind,e96e027fba project,Onshore,,Middle East and Africa,South Africa,58.5,,58.5,,Dormant,Stark Energy Corporation,
Wind,2cd6b72e5b,Onshore,,North America,United States,39.5,,,39.5,Cancelled,Stark Energy Corporation,
Wind,b39faffc50,Onshore,,North America,United States,124.5,,124.5,,Announced,Stark Energy Corporation,
Wind,088f23f279 project,Onshore,,North America,United States,403.788,,403.788,,Permitting,Stark Energy Corporation,
Wind,236c165ddd,Onshore,,North America,United States,270,,270,,Permitting,Stark Energy Corporation,
Wind,fc8ba6adf9,Onshore,,Asia-Pacific,China,8.85,8.85,,,Active,Stark Energy Corporation,
Wind,07fbdb4124,Onshore,,Europe,Turkey,47.6,,,47.6,Cancelled,Stark Energy Corporation,
Wind,806810e9ef project,Onshore,,Asia-Pacific,Vietnam,7.83,,7.83,,Under Construction,Stark Energy Corporation,
Wind,520f7a9f44 power plant,Onshore,,Europe,Turkey,7.99,,,,Active,Stark Energy Corporation,
Wind,c61e1419c8,Onshore,,Asia-Pacific,China,60.885,,,,Active,Stark Energy Corporation,
Wind,325a17b00c,Onshore,,North America,United States,8,,8,,Under Construction,Stark Energy Corporation,
Wind,d860734bd2,Onshore,,Europe,Sweden,1.365,1.365,,,Active,Stark Energy Corporation,100
Wind,2e1cfaf2a0,Onshore,,North America,United States,4.026,4.026,,,Active,Stark Energy Corporation,100
Wind,aaf1d4c05c,Onshore,,Europe,Sweden,0.7735,0.7735,,,Active,Stark Energy Corporation,100
Wind,39d5b430f5,Onshore,,Asia-Pacific,India,0.3325,0.3325,,,Active,Stark Energy Corporation,100
Wind,74b11a2dbd,Onshore,,North America,United States,76.5,76.5,,,Active,Stark Energy Corporation,
Wind,136261ff3a,Onshore,,North America,United States,,236,,,Active,Stark Energy Corporation,100
Wind,136261ff3a,Onshore,,North America,United States,,236,,,Active,Stark Energy Corporation,100
Wind,136261ff3a,Onshore,,North America,United States,,,236,,Announced,Stark Energy Corporation,
Wind,bea3e89cf5,Onshore,,Europe,Italy,17.612,17.612,,,Active,Stark Energy Corporation,
Wind,790ab1a857,Onshore,,Middle East and Africa,Jordan,25.9,,,25.9,Suspended,Stark Energy Corporation,
Wind,7e94302d13,Onshore,,Europe,Ireland,21.896,21.896,,,Active,Stark Energy Corporation,
Wind,c055afccc7,Onshore,,Asia-Pacific,India,60.984,,,,Active,Stark Energy Corporation,
Wind,936f69f300,Onshore,,Europe,Spain,17.85,,17.85,,Permitting,Stark Energy Corporation,
Wind,ee2bde7b5c,Onshore,,Europe,United Kingdom,6.42,6.42,,,Active,Stark Energy Corporation,100
Wind,19a8249e69,Onshore,,Asia-Pacific,Japan,2.235,2.235,,,Active,Stark Energy Corporation,
Wind,f532f23413,Onshore,,Asia-Pacific,Japan,9.63,9.63,,,Active,Stark Energy Corporation,
Wind,d200ffe672,Onshore,,Europe,Turkey,20.25,20.25,,,Active,Stark Energy Corporation,100
Wind,dc214fef9a,Onshore,,South and Central America,Brazil,87.78,,87.78,,Dormant,Stark Energy Corporation,
Wind,b6ad071ff8,Onshore,,Asia-Pacific,India,1.23,1.23,,,Active,Stark Energy Corporation,100
Wind,fcda8aede5,Onshore,,Asia-Pacific,China,47.52,,47.52,,Dormant,Stark Energy Corporation,
Wind,05f4da4437,Onshore,,Asia-Pacific,China,40.095,,40.095,,Dormant,Stark Energy Corporation,
Wind,3a0ec3ed1f,Onshore,,Europe,United Kingdom,2.976,,,2.976,Suspended,Stark Energy Corporation,
Wind,f0ce1f6a2f,Onshore,,Asia-Pacific,India,1.5,1.5,,,Active,Stark Energy Corporation,100
Wind,ce9580ba09,Onshore,,Europe,Sweden,96.48,,,,Active,Stark Energy Corporation,
Wind,6f86b6c084,Onshore,,Europe,Germany,8.94,8.94,,,Active,Stark Energy Corporation,
Wind,d8b11a5b0e,Onshore,,Europe,Sweden,17.29,,17.29,,Permitting,Stark Energy Corporation,
Wind,c1f226d00b,Onshore,,Europe,Turkey,28.9575,28.9575,,,Active,Stark Energy Corporation,96
Wind,2024f97c04,Onshore,,Asia-Pacific,India,1.785,1.785,,,Active,Stark Energy Corporation,
Wind,59b352f023,Offshore,,Asia-Pacific,Japan,514.71,,514.71,,Announced,Stark Energy Corporation,
Wind,2d6a22e813,Onshore,,Europe,Spain,13.7808,13.7808,,,Active,Stark Energy Corporation,30
Wind,0c182a887a,Onshore,,Europe,Spain,11.84,,,,Active,Stark Energy Corporation,100
Wind,78d413e1b1,Onshore,,Europe,Poland,32.98,,,,Permitting,Stark Energy Corporation,65
Wind,ccce423ba1,Onshore,,Europe,Germany,,,,,Active,Stark Energy Corporation,51
Wind,04a956288c,Onshore,,Asia-Pacific,India,1.14,,,,Active,Stark Energy Corporation,100
Wind,9ddfb9ffd5 project,Onshore,,Asia-Pacific,Pakistan,39.6,39.6,,,Active,Stark Energy Corporation,
Wind,a0cee45236,Onshore,,Asia-Pacific,India,1.02,1.02,,,Active,Stark Energy Corporation,
Wind,7343cfa59a,Onshore,,Europe,Italy,26.04,,26.04,,Dormant,Stark Energy Corporation,
Wind,925dbce1e2 project,Onshore,,South and Central America,Honduras,41.5,,41.5,,Dormant,Stark Energy Corporation,
Wind,17b61b64e4 project,Onshore,,South and Central America,Honduras,16.95,,16.95,,Dormant,Stark Energy Corporation,
Wind,82904756f4,Onshore,,Europe,Belgium,1.548,1.548,,,Active,Stark Energy Corporation,100
Wind,dec053f5e2,Onshore,,Middle East and Africa,Namibia,52.5,,,52.5,Cancelled,Stark Energy Corporation,
Wind,21168ed22c,Onshore,,Asia-Pacific,India,26.208,26.208,,,Active,Stark Energy Corporation,
Wind,df6940ca81,Onshore,,South and Central America,Brazil,,,,,Active,Stark Energy Corporation,49
Wind,5a5dd682f3,Onshore,,South and Central America,Brazil,21.45,,21.45,,Under Construction,Stark Energy Corporation,49
Wind,e1ade89e5f,Onshore,,South and Central America,Brazil,22.5,,22.5,,Under Construction,Stark Energy Corporation,49
Wind,a413099147,Onshore,,Europe,France,10.488,10.488,,,Active,Stark Energy Corporation,
Wind,792da369ba,Onshore,,Asia-Pacific,India,106.56,,,,Active,Stark Energy Corporation,
Wind,c31d2f9736,Onshore,,South and Central America,Brazil,16.75,,16.75,,Under Construction,Stark Energy Corporation,90
Wind,fff2110f33,Onshore,,Asia-Pacific,India,25.74,25.74,,,Active,Stark Energy Corporation,
Wind,0559b21879,Onshore,,South and Central America,Brazil,36,,36,,Permitting,Stark Energy Corporation,100
Wind,bd91787027,Onshore,,Asia-Pacific,India,35,35,,,Active,Stark Energy Corporation,
Wind,ff742d86dd,Onshore,,Asia-Pacific,India,177.072,,177.072,,Permitting,Stark Energy Corporation,
Wind,b6025a0c89,Onshore,,Asia-Pacific,India,48.888,48.888,,,Active,Stark Energy Corporation,
Wind,03384bd309,Onshore,,South and Central America,Brazil,43.8,,43.8,,Permitting,Stark Energy Corporation,
Wind,30f2a2de21,Onshore,,Asia-Pacific,India,0.92,0.92,,,Active,Stark Energy Corporation,100
Wind,5d8a701b35,Onshore,,North America,Canada,4.305,4.305,,,Active,Stark Energy Corporation,
Wind,2c155f57ea,Onshore,,Asia-Pacific,India,0.28,0.28,,,Active,Stark Energy Corporation,
Wind,50844a686a,Onshore,,Asia-Pacific,Myanmar,,,,,Dormant,Stark Energy Corporation,
Wind,a0ee1ec3e9,Onshore,,Asia-Pacific,Myanmar,,,,,Dormant,Stark Energy Corporation,
Wind,4fee6c1fd4,Onshore,,Asia-Pacific,Republic of Korea,20,20,,,Active,Stark Energy Corporation,
Wind,6e1291f935,Onshore,,South and Central America,Ecuador,4.275,,,,Partially Active,Stark Energy Corporation,
Wind,3526f18457,Onshore,,Asia-Pacific,India,8.883,8.883,,,Active,Stark Energy Corporation,
Wind,97a56c5dbe,Onshore,,Asia-Pacific,India,1.08,1.08,,,Active,Stark Energy Corporation,100
Wind,84c03c88f0,Onshore,,Europe,Finland,7.2,7.2,,,Active,Stark Energy Corporation,
Wind,bbf275dac3,Onshore,,Europe,Finland,21.2,,,21.2,Cancelled,Stark Energy Corporation,
Wind,d89d4bb7bc,Onshore,,Asia-Pacific,India,0.357,0.357,,,Active,Stark Energy Corporation,100
Wind,c6994784cb,Onshore,,Asia-Pacific,India,0.705,0.705,,,Active,Stark Energy Corporation,100
Wind,65b7de03db,Onshore,,Asia-Pacific,India,2.07,2.07,,,Active,Stark Energy Corporation,100
Wind,e669335471,Onshore,,Europe,Romania,385.44,,,,Partially Active,Stark Energy Corporation,15
Wind,483866becb,Onshore,,Asia-Pacific,India,3.6,3.6,,,Active,Stark Energy Corporation,100
Wind,31632a23ec,Onshore,,Asia-Pacific,India,3.225,,,,Active,Stark Energy Corporation,100
Wind,0d2a865d9c,Onshore,,Asia-Pacific,India,0.828,0.828,,,Active,Stark Energy Corporation,100
Wind,53db65ed15,Onshore Repowered,,Middle East and Africa,Israel,15.065,,15.065,,Dormant,Stark Energy Corporation,
Wind,4c1dbaafd8,Onshore,,North America,United States,134,,134,,Dormant,Stark Energy Corporation,
Wind,f4fa4af347,Onshore,,Asia-Pacific,India,0.7375,0.7375,,,Active,Stark Energy Corporation,
Wind,85c261ddb9,Onshore,,Asia-Pacific,India,1.26,1.26,,,Active,Stark Energy Corporation,100
Wind,3198326740,Onshore,,North America,United States,,,,,Active,Stark Energy Corporation,49.9
Wind,74a4f4218e,Onshore,,Europe,Turkey,45.2,,,,Permitting,Stark Energy Corporation,
Wind,07057a9af4,Onshore,,Europe,Spain,6.435,6.435,,,Active,Stark Energy Corporation,50
Wind,ffe58de43f,Onshore,,Asia-Pacific,Vietnam,31.5,,31.5,,Dormant,Stark Energy Corporation,
Wind,1835fcca0d,Onshore Repowered,,Europe,Netherlands,5.355,,,5.355,Decommissioned,Wonka Energy LTD,
Wind,66c5d59e8a,Onshore,,Europe,Italy,27.36,27.36,,,Active,Wonka Energy LTD,
Wind,7e6f913a34,Onshore,,Asia-Pacific,India,34,,34,,Dormant,Wonka Energy LTD,
Wind,8937359934,Onshore,,Europe,Spain,5.31,,5.31,,Dormant,Wonka Energy LTD,
Wind,22699476ca,Onshore,,Europe,Spain,28.0665,,28.0665,,Permitting,Wonka Energy LTD,100
Wind,ab1ba10e8f,Onshore,,Middle East and Africa,Djibouti,44.25,,44.25,,Permitting,Wonka Energy LTD,
Wind,b11f53012c,Onshore,,Europe,Hungary,2.34,2.34,,,Active,Wonka Energy LTD,
Wind,00184f0d5e,Onshore,,Asia-Pacific,India,0.912,0.912,,,Active,Wonka Energy LTD,100
Wind,7bb0702511,Onshore,,Europe,Sweden,87.285,87.285,,,Active,Wonka Energy LTD,100
Wind,0ea6620b51,Onshore,,South and Central America,Argentina,40.32,40.32,,,Active,Wonka Energy LTD,
Wind,aeeafcdb41,Onshore,,Asia-Pacific,India,0.85,0.85,,,Active,Wonka Energy LTD,100
Wind,49a8864cbb,Onshore,,Asia-Pacific,India,4.1,4.1,,,Active,Wonka Energy LTD,
Wind,7422b6a0e1,Onshore,,Asia-Pacific,China,58,,58,,Permitting,Wonka Energy LTD,
Wind,990bbed4cb,Offshore,,Europe,Norway,255,,,255,Suspended,Wonka Energy LTD,25
Wind,251a3934b5 plant,Onshore,,Europe,United Kingdom,0.325,0.325,,,Active,Wonka Energy LTD,
Wind,1bc0fcb264,Offshore,,Europe,United Kingdom,,,,,Active,Wonka Energy LTD,35
Wind,ed9b0d1b9a,Onshore,,Asia-Pacific,China,84,84,,,Active,Wonka Energy LTD,
Wind,4a84b5e590,Onshore,,Europe,Sweden,0.4026,0.4026,,,Active,Wonka Energy LTD,
Wind,2e92c5b4d6,Onshore,,Europe,Spain,71.136,,71.136,,Under Construction,Wonka Energy LTD,
Wind,51cd705ade project,Onshore,,Europe,Spain,48.7942,,48.7942,,Permitting,Wonka Energy LTD,
Wind,f94e788d9c,Onshore,,Europe,Spain,,,,,Under Construction,Wonka Energy LTD,9
Wind,4cac4eb311,Onshore,,Asia-Pacific,India,0.378,0.378,,,Active,Wonka Energy LTD,100
Wind,4e0eee9642,Onshore,,Europe,Turkey,35.2,35.2,,,Active,Wonka Energy LTD,
Wind,7c60a8ae83,Onshore,,Asia-Pacific,India,0.31,0.31,,,Active,Wonka Energy LTD,100
Wind,fe1dcee8ce project,Onshore,,North America,Canada,34.83,,,34.83,Suspended,Wonka Energy LTD,
Wind,f21592336b,Onshore,,Asia-Pacific,India,0.8775,0.8775,,,Active,Wonka Energy LTD,100
Wind,8bbe66eb08,Onshore,,Asia-Pacific,India,0.3625,0.3625,,,Active,Wonka Energy LTD,
Wind,7f782ce859,Onshore,,Asia-Pacific,India,0.3605,0.3605,,,Active,Wonka Energy LTD,100
Wind,4e51c3dbb9,Onshore,,Asia-Pacific,India,0.648,0.648,,,Active,Wonka Energy LTD,100
Wind,d45585a94e,Onshore,,Europe,Finland,23.75,,23.75,,Permitting,Wonka Energy LTD,
Wind,9b8560d78b,Onshore,,Asia-Pacific,India,1.01,1.01,,,Active,Wonka Energy LTD,100
Wind,d65cac2392,Onshore,,Asia-Pacific,India,2.73,2.73,,,Active,Wonka Energy LTD,100
Wind,b9fc8caf2f,Onshore,,North America,United States,199.5,,199.5,,Dormant,Wonka Energy LTD,
Wind,94a6dfa5a7,Onshore,,Asia-Pacific,India,0.696,0.696,,,Active,Wonka Energy LTD,100
Wind,580218fedf,Offshore,,Europe,Finland,,,,,Cancelled,Wonka Energy LTD,
Wind,eee4d8ba9f,Onshore,,Asia-Pacific,India,30.24,,,,Partially Active,Wonka Energy LTD,
Wind,2a0d6f6dc6,Onshore,,Asia-Pacific,India,34.32,34.32,,,Active,Wonka Energy LTD,
Wind,9bda1e8257,Onshore,,Asia-Pacific,India,41.958,,,,Active,Wonka Energy LTD,
Wind,8023a701b1,Onshore,,Asia-Pacific,India,0.504,0.504,,,Active,Wonka Energy LTD,100
Wind,aa9a2843c6,Onshore,,Asia-Pacific,India,0.882,0.882,,,Active,Wonka Energy LTD,100
Wind,4356824f64,Onshore,,Asia-Pacific,India,1.221,1.221,,,Active,Wonka Energy LTD,
Wind,36b9fc094d,Onshore,,North America,Canada,,52.44,,,Active,Wonka Energy LTD,100
Wind,8d01699b09,Onshore,,North America,United States,1.071,,1.071,,Dormant,Wonka Energy LTD,
Wind,c76d9cef77,Onshore,,Europe,Germany,19.95,,,,Active,Wonka Energy LTD,
Wind,2e3f2ffaae,Onshore,,Asia-Pacific,India,0.32,0.32,,,Active,Wonka Energy LTD,100
Wind,e5cf71439d,Onshore,,Europe,Sweden,0.1575,0.1575,,,Active,Wonka Energy LTD,
Wind,7f9909ad90,Onshore,,Asia-Pacific,India,0.786,0.786,,,Active,Wonka Energy LTD,100
Wind,49a32ce441,Onshore,,Asia-Pacific,Australia,45,,,45,Cancelled,Wonka Energy LTD,
Wind,2070ae9c52,Onshore,,Europe,Turkey,45.9,,,45.9,Cancelled,Wonka Energy LTD,
Wind,e817293016,Onshore,,Asia-Pacific,India,0.2622,0.2622,,,Active,Wonka Energy LTD,100
Wind,eb4c59ba5b,Onshore,,Asia-Pacific,India,0.65,0.65,,,Active,Wonka Energy LTD,100
Wind,612749d467,Onshore,,Middle East and Africa,South Africa,,,,,Under Construction,Wonka Energy LTD,35
Wind,bde5b967d8,Onshore,,Europe,Spain,42.525,42.525,,,Active,Wonka Energy LTD,
Wind,b0981daf36,Onshore,,Europe,Spain,2.5615,2.5615,,,Active,Wonka Energy LTD,
Wind,d2ed03800b,Onshore,,Europe,Spain,2.62,,2.62,,Permitting,Wonka Energy LTD,
Wind,a6d80ddb96 project,Onshore,,Europe,Spain,15.708,,15.708,,Under Construction,Wonka Energy LTD,
Wind,fe4329c808 project,Onshore,,Europe,Spain,56.232,,56.232,,Under Construction,Wonka Energy LTD,
Wind,6a28f64ac7 project,Onshore,,Europe,Spain,34.056,,34.056,,Under Construction,Wonka Energy LTD,
Wind,81989f1ba1 project,Onshore,,Europe,Spain,36.608,,36.608,,Announced,Wonka Energy LTD,
Wind,4cd0236377,Onshore,,Europe,Spain,1.41,,1.41,,Permitting,Wonka Energy LTD,
Wind,6e24bb10cd,Onshore,,Europe,Finland,0.288,0.288,,,Active,Wonka Energy LTD,100
Wind,6e767c76cc,Onshore,,Asia-Pacific,India,0.138,0.138,,,Active,Wonka Energy LTD,100
Wind,e016886b63,Onshore,,South and Central America,Brazil,16.92,,16.92,,Under Construction,Wonka Energy LTD,100
Wind,956101aaf2,Onshore,,South and Central America,Brazil,66.024,,,,Under Construction,Wonka Energy LTD,99.99
Wind,8391ea5786,Onshore,,Europe,United Kingdom,58.5,,58.5,,Permitting,Wonka Energy LTD,
Wind,299728766,Onshore,,Asia-Pacific,India,5.805,5.805,,,Active,Wonka Energy LTD,
Wind,2428f1e343,Onshore,,North America,United States,25.9,,25.9,,Dormant,Wonka Energy LTD,
Wind,3ac59d3f6c,Onshore,,Middle East and Africa,Tunisia,34.8,,34.8,,Permitting,Wonka Energy LTD,
Wind,1e3f8f7def,Onshore,,Europe,Sweden,139.08,,139.08,,Under Construction,Wonka Energy LTD,
Wind,18b4c7c59f project,Onshore,,North America,United States,8.7,,,,Active,Wonka Energy LTD,100
Wind,da1f28d188,Onshore,,Asia-Pacific,India,0.768,0.768,,,Active,Wonka Energy LTD,
Wind,82c9bb8758,Onshore,,Asia-Pacific,India,0.4515,0.4515,,,Active,Wonka Energy LTD,100
Wind,8d4cfb22be,Onshore,,Asia-Pacific,India,1.41,1.41,,,Active,Wonka Energy LTD,
Wind,b10ce886ec,Onshore,,Asia-Pacific,New Zealand,1.5075,1.5075,,,Active,Wonka Energy LTD,
Wind,8363bb0493,Onshore,,Asia-Pacific,India,4.425,4.425,,,Active,Wonka Energy LTD,100
Wind,9c9faad673,Onshore,,South and Central America,Brazil,27.4,27.4,,,Active,Wonka Energy LTD,100
Wind,e33c28c38b,Onshore,,South and Central America,Brazil,13.8,13.8,,,Active,Wonka Energy LTD,100
Wind,7ae780ee72,Onshore,,South and Central America,Brazil,19.596,19.596,,,Active,Wonka Energy LTD,100
Wind,3dce94ca60 power plant,Onshore,,Europe,Georgia,13.95,,13.95,,Announced,Wonka Energy LTD,
Wind,54d748f1d5,Onshore,,South and Central America,Brazil,36.96,36.96,,,Active,Wonka Energy LTD,100
Wind,4e96d8282c project,Onshore,,North America,United States,54.432,,54.432,,Permitting,Wonka Energy LTD,100
Wind,a91002aac7,Onshore,,Asia-Pacific,India,0.276,0.276,,,Active,Wonka Energy LTD,100
Wind,b76cb83cce project,Onshore,,North America,United States,13.68,13.68,,,Active,Wonka Energy LTD,
Wind,637fdb5344,Onshore,,Europe,Ireland,7.854,7.854,,,Active,Wonka Energy LTD,
Wind,2d856e0acc,Onshore,,Europe,Ireland,88.2,,,,Active,Wonka Energy LTD,
Wind,0fc307d933,Onshore,,South and Central America,Brazil,19.992,,,,Active,Wonka Energy LTD,40
Wind,efb3f091bf,Onshore,,Asia-Pacific,India,102.789,,,,Active,Wonka Energy LTD,3.38
Wind,d291c37b5b,Onshore,,Middle East and Africa,Jordan,,,,,Active,Wonka Energy LTD,50
Wind,a331f677af,Onshore,,Europe,Italy,0.112,,0.112,,Dormant,Wonka Energy LTD,
Wind,01cf303ad9,Onshore,,North America,United States,3.81,3.81,,,Active,Wonka Energy LTD,
Wind,d6f62f5a67,Onshore,,Europe,Portugal,17.82,,,,Active,Wonka Energy LTD,
Wind,327141571a,Onshore,,Asia-Pacific,India,5.445,5.445,,,Active,Wonka Energy LTD,100
Wind,5a92d6cff0,Onshore,,Europe,Hungary,1.184,1.184,,,Active,Wonka Energy LTD,
Wind,671a79bce3,Onshore,,Europe,Finland,38.88,,,38.88,Cancelled,Wonka Energy LTD,
Wind,eabdff20fb,Onshore,,Europe,Finland,24.84,,24.84,,Permitting,Wonka Energy LTD,
Wind,933a68bcb7 power plant,Onshore,,Europe,Ukraine,32.9868,,32.9868,,Permitting,Wonka Energy LTD,100
Wind,085a096daa,Onshore,,Europe,Germany,3.1,3.1,,,Active,Wonka Energy LTD,15
Wind,ae7b8d8274,Onshore,,Europe,Finland,125.46,,125.46,,Permitting,Wonka Energy LTD,
Wind,e285068f18,Onshore,,Europe,Finland,34.2,,,34.2,Suspended,Wonka Energy LTD,
Wind,e7706cae77,Onshore,,Europe,Finland,39.204,39.204,,,Active,Wonka Energy LTD,
Wind,d3af0666dd,Onshore,,Europe,France,5.36,5.36,,,Active,Wonka Energy LTD,
Wind,0f5e744cf8,Onshore,,North America,United States,14.382,14.382,,,Active,Wonka Energy LTD,
Wind,857ac59784,Onshore,,Asia-Pacific,India,0.2065,0.2065,,,Active,Wonka Energy LTD,100
Wind,c9d33f1361,Onshore,,Europe,Spain,42.3,42.3,,,Active,Wonka Energy LTD,
Wind,f2d84a57b3 project,Onshore,,North America,United States,47.5,,47.5,,Permitting,Wonka Energy LTD,
Wind,8ce12081a0,Offshore,,Europe,United Kingdom,384,384,,,Active,Wonka Energy LTD,100
Wind,d5cc21cde3,Onshore,,Asia-Pacific,India,1.0115,1.0115,,,Active,Wonka Energy LTD,100
Wind,3451dc93e7,Onshore,,Asia-Pacific,Vietnam,35.4,,,,Dormant,Wonka Energy LTD,
Wind,d80dc0a75c,Onshore,,North America,Canada,4.615,4.615,,,Active,Wonka Energy LTD,100
Wind,44195e6cc9,Onshore,,North America,United States,94.245,94.245,,,Active,Wonka Energy LTD,
Wind,cc7b2ca27c,Onshore,,Asia-Pacific,Australia,130.56,130.56,,,Active,Wonka Energy LTD,
Wind,0b261f774d,Onshore,,Europe,Portugal,2.92,2.92,,,Active,Wonka Energy LTD,
Wind,7b81d0d3af project,Onshore,,North America,Canada,,57.27,,,Active,Wonka Energy LTD,100
Wind,7b81d0d3af project,Onshore,,North America,Canada,,,33.2,,Permitting,Wonka Energy LTD,
Wind,d26ea38904,Onshore,,North America,Mexico,89.76,89.76,,,Active,Wonka Energy LTD,
Wind,1f3f0e270b,Onshore,,Europe,France,17.38,,,,Active,Wonka Energy LTD,
Wind,cf4a67d139,Onshore,,Europe,Italy,35.2,35.2,,,Active,Wonka Energy LTD,
Wind,ca543c273a,Onshore,,North America,United States,1.8,1.8,,,Active,Wonka Energy LTD,
Wind,16ca7f4e2c,Onshore,,Asia-Pacific,India,116.22,116.22,,,Active,Wonka Energy LTD,
Wind,a07a4bdade,Onshore,,North America,United States,61.2,,,,Active,Wonka Energy LTD,100
Wind,54db404e2d,Offshore,,Europe,Germany,259.29,259.29,,,Active,Wonka Energy LTD,25
Wind,0fe92a3892 center,Onshore,,Asia-Pacific,Japan,1.89,1.89,,,Active,Wonka Energy LTD,
Wind,d9682ebf06,Onshore,,Middle East and Africa,Israel,7.0125,7.0125,,,Active,Wonka Energy LTD,100
Wind,6022f304ba,Onshore,,Europe,United Kingdom,6.2525,6.2525,,,Active,Wonka Energy LTD,25
Wind,fd786c0051,Onshore,,Europe,Sweden,110.22,,110.22,,Under Construction,Wonka Energy LTD,80
Wind,14e3c2bd4e,Onshore,,Asia-Pacific,India,2.289,2.289,,,Active,Wonka Energy LTD,
Wind,ef3f09eeaa,Onshore,,North America,Canada,138.6,,138.6,,Dormant,Wonka Energy LTD,
Wind,7f3da5f012,Onshore,,Asia-Pacific,India,1.1385,1.1385,,,Active,Wonka Energy LTD,100
Wind,88d90138a3,Onshore,,North America,United States,0.14025,0.14025,,,Active,Wonka Energy LTD,
Wind,f5fbef34bb,Onshore,,Europe,France,18.81,18.81,,,Active,Wonka Energy LTD,50
Wind,53fcfa8e5d,Onshore,,Europe,France,9.24,9.24,,,Active,Wonka Energy LTD,
Wind,709c8d5b56,Onshore,,Europe,United Kingdom,25.97,,,25.97,Cancelled,Wonka Energy LTD,
Wind,a643b442fc,Onshore,,Asia-Pacific,India,2.4225,2.4225,,,Active,Wonka Energy LTD,
Wind,1b15d2d043,Onshore,,Europe,United Kingdom,406.35,,406.35,,Permitting,Wonka Energy LTD,
Wind,3102460222,Onshore,,Europe,United Kingdom,10.5,10.5,,,Active,Wonka Energy LTD,100
Wind,b093a9f3ca,Onshore,,Asia-Pacific,India,0.24,0.24,,,Active,Wonka Energy LTD,100
Wind,5f0ec037b6,Onshore,,Asia-Pacific,China,,,,,Suspended,Wonka Energy LTD,51
Wind,10ae36656c,Onshore,,Asia-Pacific,India,0.26775,0.26775,,,Active,Wonka Energy LTD,
Wind,95be7f8561,Onshore,,Asia-Pacific,India,26.18,26.18,,,Active,Wonka Energy LTD,
Wind,4af4dce3ec,Onshore,,Asia-Pacific,India,34.75,34.75,,,Active,Wonka Energy LTD,
Wind,50aad03bc1,Onshore,,North America,United States,441.04,,441.04,,Permitting,Wonka Energy LTD,
